pickup,drop,hour,dayofweek,event,demand,distance,competitor_fare,fare,pickup_code,drop_code
Habibganj,MP Nagar,22,1,0,83,1.42,77.04,79.29,3,7
Kolar,Indrapuri,11,2,1,72,11.56,155.72,245.61,5,4
Indrapuri,Railway Station,21,0,0,80,7.42,177.04,161.51,4,9
Habibganj,Kolar,2,4,1,32,5.08,102.96,121.55,3,5
Kolar,Ashoka Garden,19,0,0,78,9.32,124.84,170.73,5,1
Lalghati,Habibganj,22,6,0,61,8.88,130.56,166.81,6,3
Railway Station,Shahpura,23,4,1,27,6.92,106.04,144.25,9,10
MP Nagar,Habibganj,9,4,0,82,1.42,70.04,77.89,7,3
Railway Station,Indrapuri,21,5,0,33,7.42,167.04,140.44,9,4
Lalghati,Habibganj,13,3,1,84,8.88,181.56,241.5,6,3
Shahpura,New Market,4,4,0,70,6.72,100.64,135.94,10,8
Shahpura,Habibganj,5,3,1,33,2.26,76.12,82.34,10,3
Shahpura,MP Nagar,10,2,1,73,3.67,130.04,127.25,10,7
Habibganj,MP Nagar,18,1,0,27,1.42,45.04,54.64,3,7
Shahpura,BHEL,2,3,0,30,8.38,162.56,147.16,10,2
BHEL,New Market,20,5,1,81,11.86,179.32,291.11,2,8
Habibganj,New Market,6,2,1,76,4.74,133.88,143.03,3,8
Railway Station,Ashoka Garden,6,3,0,48,0.98,32.76,47.96,9,1
Indrapuri,MP Nagar,20,0,1,33,6.76,132.12,147.54,4,7
Railway Station,Kolar,1,0,1,64,8.59,178.08,207.31,9,5
Habibganj,Shahpura,4,5,1,32,2.26,111.12,92.07,3,10
MP Nagar,Kolar,5,6,0,43,5.82,85.84,105.04,7,5
Airport,Lalghati,10,5,0,22,4.25,113.0,97.6,0,6
Shahpura,BHEL,14,4,0,27,8.38,120.56,136.56,10,2
Kolar,Habibganj,8,1,0,94,5.08,105.96,134.27,5,3
New Market,Airport,22,5,1,32,8.43,118.16,164.79,8,0
New Market,Kolar,9,5,0,57,5.79,156.48,138.91,8,5
Lalghati,Railway Station,0,1,0,31,4.47,81.64,91.24,6,9
Railway Station,Shahpura,18,1,1,50,6.92,146.04,152.25,9,10
BHEL,Railway Station,0,2,1,73,8.71,133.52,200.13,2,9
Habibganj,Airport,2,0,0,71,12.53,202.36,223.22,3,0
Lalghati,MP Nagar,7,1,0,35,7.47,176.64,143.74,6,7
MP Nagar,Airport,13,6,1,55,11.19,215.28,252.19,7,0
BHEL,Lalghati,7,1,1,92,12.5,173.0,300.6,2,6
Airport,BHEL,17,3,0,49,16.74,222.88,237.28,0,2
Ashoka Garden,Airport,20,5,1,48,8.99,134.88,174.86,1,0
Indrapuri,Kolar,23,3,0,35,11.56,215.72,189.82,4,5
Indrapuri,Ashoka Garden,15,4,0,61,6.76,155.12,148.28,4,1
Ashoka Garden,Kolar,20,6,0,96,9.32,192.84,208.63,1,5
Lalghati,Railway Station,12,6,0,52,4.47,82.64,106.42,6,9
Habibganj,Shahpura,22,3,0,35,2.26,70.12,68.02,3,10
Shahpura,BHEL,10,1,0,49,8.38,130.56,138.56,10,2
Airport,Kolar,2,6,0,64,14.03,250.36,250.13,0,5
Shahpura,Lalghati,14,5,0,89,11.14,201.68,234.86,10,6
Lalghati,Railway Station,1,5,0,23,4.47,108.64,98.14,6,9
Railway Station,Airport,11,1,1,57,8.55,137.6,198.64,9,0
Lalghati,Shahpura,18,6,0,27,11.14,191.68,179.08,6,10
Lalghati,Ashoka Garden,2,0,0,94,4.78,141.36,137.82,6,1
New Market,Lalghati,10,6,1,51,5.76,89.12,148.77,8,6
Airport,Kolar,0,6,1,66,14.03,187.36,287.5,0,5
New Market,Ashoka Garden,23,2,0,82,4.99,86.88,129.24,8,1
Habibganj,Airport,1,1,1,84,12.53,181.36,302.78,3,0
Railway Station,BHEL,9,2,0,80,8.71,153.52,169.44,9,2
Ashoka Garden,Airport,3,6,1,75,8.99,155.88,208.63,1,0
Railway Station,Lalghati,8,0,1,76,4.47,88.64,130.1,9,6
MP Nagar,Shahpura,12,2,0,89,3.67,80.04,110.13,7,10
Lalghati,Habibganj,0,4,0,89,8.88,129.56,190.06,6,3
Indrapuri,Shahpura,4,3,0,60,6.89,132.68,144.31,4,10
Kolar,Indrapuri,14,6,0,79,11.56,209.72,213.52,5,4
BHEL,Lalghati,15,5,1,51,12.5,204.0,268.8,2,6
Ashoka Garden,Railway Station,1,4,0,75,0.98,21.76,54.04,1,9
Lalghati,Habibganj,19,1,1,29,8.88,178.56,182.27,6,3
Lalghati,Shahpura,19,0,0,34,11.14,215.68,186.28,6,10
MP Nagar,Indrapuri,19,1,0,30,6.76,98.12,116.52,7,4
Ashoka Garden,New Market,1,4,0,39,4.99,105.88,101.68,1,8
New Market,Ashoka Garden,16,3,1,76,4.99,136.88,147.23,8,1
Shahpura,Lalghati,20,1,1,58,11.14,213.68,251.15,10,6
BHEL,Airport,9,3,1,28,16.74,243.88,289.66,2,0
Ashoka Garden,Indrapuri,21,2,0,39,6.76,108.12,118.52,1,4
BHEL,Lalghati,1,1,0,20,12.5,219.0,198.7,2,6
Habibganj,Ashoka Garden,4,3,1,69,5.07,137.84,148.58,3,1
Habibganj,New Market,11,0,1,64,4.74,82.88,132.83,3,8
Lalghati,Habibganj,20,3,1,53,8.88,122.56,200.38,6,3
MP Nagar,Ashoka Garden,21,0,1,44,3.76,120.12,110.52,7,1
Airport,MP Nagar,17,1,0,96,11.19,176.28,230.45,0,7
Airport,New Market,11,4,0,71,8.43,185.16,174.12,0,8
Railway Station,Habibganj,19,0,1,49,4.71,70.52,110.62,9,3
MP Nagar,Ashoka Garden,10,1,0,24,3.76,71.12,82.32,7,1
Shahpura,Railway Station,14,3,0,29,6.92,172.04,137.74,10,9
Habibganj,Indrapuri,20,5,0,87,6.68,153.16,165.21,3,4
New Market,BHEL,4,5,0,100,11.86,185.32,241.26,8,2
MP Nagar,Habibganj,15,3,1,62,1.42,40.04,76.46,7,3
MP Nagar,Shahpura,14,3,0,46,3.67,80.04,83.24,7,10
Kolar,New Market,16,4,1,50,5.79,159.48,143.64,5,8
Ashoka Garden,Kolar,21,6,1,30,9.32,161.84,184.21,1,5
MP Nagar,New Market,20,6,0,62,3.82,77.84,97.97,7,8
BHEL,Indrapuri,8,2,0,86,1.57,40.84,74.07,2,4
BHEL,Kolar,1,6,1,82,13.11,173.32,310.91,2,5
Airport,New Market,23,6,1,75,8.43,161.16,201.62,0,8
Airport,Railway Station,17,4,0,46,8.55,177.6,153.1,0,9
Lalghati,MP Nagar,10,5,0,93,7.47,109.64,167.12,6,7
Airport,Indrapuri,7,6,0,87,15.69,235.28,302.73,0,4
Indrapuri,Habibganj,2,5,0,73,6.68,95.16,134.39,4,3
Airport,MP Nagar,4,2,0,88,11.19,177.28,230.65,0,7
Kolar,Indrapuri,14,5,0,65,11.56,205.72,212.72,5,4
Ashoka Garden,New Market,18,2,0,31,4.99,119.88,105.88,1,8
Airport,BHEL,15,2,1,30,16.74,287.88,298.46,0,2
MP Nagar,Airport,5,6,1,95,11.19,185.28,281.05,7,0
Lalghati,Habibganj,15,6,0,43,8.88,157.56,149.86,6,3
BHEL,Indrapuri,14,6,1,98,1.57,78.84,98.14,2,4
Airport,Habibganj,4,5,0,25,12.53,229.36,202.06,0,3
Shahpura,Lalghati,11,6,1,82,11.14,171.68,277.49,10,6
Airport,Indrapuri,11,2,1,37,15.69,233.28,274.94,0,4
Airport,Ashoka Garden,19,5,0,71,8.99,181.88,178.78,0,1
Habibganj,Airport,9,5,1,32,12.53,173.36,225.03,3,0
Ashoka Garden,MP Nagar,9,0,0,90,3.76,129.12,122.15,1,7
New Market,BHEL,22,2,1,28,11.86,201.32,222.58,8,2
Kolar,Habibganj,3,2,1,21,5.08,113.96,123.75,5,3
MP Nagar,Lalghati,14,6,1,45,7.47,175.64,166.13,7,6
Shahpura,New Market,8,6,0,54,6.72,130.64,141.94,10,8
Habibganj,Shahpura,6,3,1,21,2.26,60.12,79.14,3,10
Habibganj,Ashoka Garden,21,5,1,94,5.07,94.84,160.14,3,1
Kolar,MP Nagar,3,6,1,64,5.82,93.84,150.58,5,7
Railway Station,Airport,23,5,1,68,8.55,145.6,200.24,9,0
New Market,Lalghati,23,4,1,22,5.76,147.12,139.62,8,6
Ashoka Garden,Indrapuri,8,3,0,33,6.76,155.12,131.32,1,4
Kolar,New Market,0,1,0,32,5.79,153.48,122.68,5,8
Airport,Indrapuri,6,3,1,23,15.69,274.28,283.14,0,4
MP Nagar,Habibganj,0,0,0,83,1.42,52.04,74.29,7,3
New Market,Ashoka Garden,23,6,1,52,4.99,102.88,140.43,8,1
MP Nagar,Shahpura,8,3,0,60,3.67,98.04,100.29,7,10
Kolar,Indrapuri,13,2,0,92,11.56,148.72,229.91,5,4
Kolar,Indrapuri,5,6,1,48,11.56,187.72,216.26,5,4
BHEL,Indrapuri,9,1,0,29,1.57,69.84,62.14,2,4
Shahpura,BHEL,11,1,1,77,8.38,188.56,206.38,10,2
Kolar,New Market,21,2,1,65,5.79,135.48,158.47,5,8
Railway Station,New Market,7,0,1,60,4.02,106.24,127.14,9,8
New Market,MP Nagar,1,0,1,34,3.82,98.84,105.61,8,7
Railway Station,Lalghati,16,2,0,62,4.47,81.64,106.22,9,6
Shahpura,Airport,18,6,1,23,14.75,258.0,268.6,10,0
BHEL,Shahpura,21,6,0,59,8.38,129.56,160.85,2,10
Habibganj,Ashoka Garden,20,0,1,72,5.07,81.84,137.38,3,1
Habibganj,MP Nagar,7,1,1,55,1.42,67.04,81.86,3,7
Kolar,MP Nagar,2,6,1,91,5.82,113.84,176.54,5,7
BHEL,Habibganj,23,4,1,34,8.25,174.0,173.82,2,3
Shahpura,Ashoka Garden,6,5,1,86,7.18,106.16,197.86,10,1
Shahpura,Railway Station,6,5,0,34,6.92,121.04,122.64,10,9
BHEL,Airport,14,2,0,88,16.74,277.88,325.36,2,0
Indrapuri,BHEL,16,5,0,36,1.57,81.84,65.74,4,2
Kolar,Habibganj,13,1,1,93,5.08,117.96,164.94,5,3
BHEL,Ashoka Garden,14,0,0,80,7.96,146.52,159.4,2,1
New Market,Ashoka Garden,8,6,0,76,4.99,121.88,120.46,8,1
Kolar,Habibganj,21,3,0,35,5.08,73.96,95.56,5,3
New Market,BHEL,7,3,1,36,11.86,156.32,213.58,8,2
Indrapuri,New Market,0,6,1,100,10.37,203.44,270.9,4,8
Ashoka Garden,Airport,7,1,0,69,8.99,117.88,165.54,1,0
Airport,New Market,3,0,1,74,8.43,147.16,198.82,0,8
New Market,Shahpura,5,3,1,82,6.72,141.64,197.22,8,10
Shahpura,Kolar,13,0,0,95,4.91,115.92,133.97,10,5
Lalghati,MP Nagar,1,3,0,41,7.47,163.64,139.84,6,7
Ashoka Garden,New Market,7,3,0,90,4.99,125.88,137.04,1,8
Railway Station,Kolar,4,1,1,89,8.59,130.08,226.33,9,5
Railway Station,Habibganj,12,4,1,88,4.71,136.52,162.43,9,3
Railway Station,Indrapuri,4,5,1,54,7.42,175.04,189.86,9,4
Lalghati,Shahpura,8,5,0,68,11.14,151.68,197.07,6,10
Shahpura,Habibganj,22,0,0,100,2.26,84.12,92.0,10,3
New Market,MP Nagar,2,3,1,22,3.82,61.84,98.21,8,7
Railway Station,Shahpura,13,2,0,56,6.92,105.04,139.13,9,10
Indrapuri,New Market,17,3,0,41,10.37,178.44,168.64,4,8
New Market,Lalghati,14,4,1,85,5.76,79.12,168.59,8,6
Indrapuri,MP Nagar,20,0,0,38,6.76,148.12,129.22,4,7
Railway Station,Indrapuri,2,4,1,90,7.42,117.04,204.06,9,4
Shahpura,Ashoka Garden,1,3,1,94,7.18,152.16,207.06,10,1
Shahpura,MP Nagar,14,6,0,48,3.67,81.04,83.44,10,7
Shahpura,New Market,5,4,1,21,6.72,98.64,140.37,10,8
Lalghati,Indrapuri,4,5,0,62,11.44,193.28,208.84,6,4
Airport,Indrapuri,4,5,0,44,15.69,206.28,223.88,0,4
Airport,New Market,7,0,1,58,8.43,116.16,192.62,0,8
Railway Station,Ashoka Garden,12,6,1,79,0.98,69.76,76.06,9,1
BHEL,Shahpura,23,5,1,77,8.38,190.56,206.78,2,10
Airport,Lalghati,16,5,1,52,4.25,131.0,135.4,0,6
BHEL,Indrapuri,8,1,0,22,1.57,29.84,53.04,2,4
Indrapuri,New Market,17,3,1,100,10.37,160.44,262.3,4,8
New Market,Ashoka Garden,8,6,1,91,4.99,97.88,159.41,8,1
Lalghati,New Market,2,3,0,59,5.76,133.12,131.6,6,8
Habibganj,New Market,19,2,0,82,4.74,79.88,124.48,3,8
Railway Station,Kolar,13,6,0,85,8.59,162.08,192.67,9,5
MP Nagar,Railway Station,13,3,0,98,3.31,101.72,109.63,7,9
Kolar,BHEL,13,1,0,37,13.11,241.32,210.52,5,2
Kolar,Indrapuri,5,5,1,54,11.56,202.72,255.01,5,4
Airport,MP Nagar,5,1,0,94,11.19,215.28,238.25,0,7
Lalghati,Railway Station,4,1,0,71,4.47,102.64,110.42,6,9
Indrapuri,Kolar,18,0,0,57,11.56,149.72,201.52,4,5
Lalghati,Ashoka Garden,8,2,1,45,4.78,111.36,119.63,6,1
Ashoka Garden,Habibganj,10,2,1,78,5.07,98.84,140.78,1,3
Habibganj,Shahpura,11,5,1,46,2.26,44.12,75.94,3,10
Shahpura,New Market,10,4,1,78,6.72,132.64,171.3,10,8
Shahpura,Railway Station,11,1,1,54,6.92,137.04,175.06,10,9
Ashoka Garden,Railway Station,0,2,1,35,0.98,30.76,57.91,1,9
BHEL,Kolar,1,6,1,70,13.11,197.32,276.25,2,5
Kolar,MP Nagar,10,5,1,23,5.82,105.84,131.01,5,7
Kolar,Lalghati,18,6,1,46,11.53,172.36,212.83,5,6
Airport,BHEL,12,5,0,56,16.74,232.88,277.82,0,2
BHEL,Shahpura,17,4,1,92,8.38,162.56,229.3,2,10
Airport,Kolar,11,0,0,30,14.03,258.36,223.36,0,5
Railway Station,MP Nagar,10,3,0,43,3.31,125.72,93.52,9,7
Shahpura,MP Nagar,18,4,1,98,3.67,76.04,132.86,10,7
Airport,Indrapuri,6,5,1,20,15.69,215.28,271.34,0,4
New Market,Ashoka Garden,16,6,0,27,4.99,118.88,105.58,8,1
Airport,BHEL,17,2,1,65,16.74,273.88,343.83,0,2
Airport,Lalghati,4,1,1,28,4.25,111.0,113.2,0,6
BHEL,Ashoka Garden,19,5,1,94,7.96,163.52,222.43,2,1
Airport,Shahpura,17,1,0,53,14.75,193.0,246.92,0,10
Railway Station,Lalghati,15,4,1,94,4.47,112.64,153.62,9,6
Shahpura,Kolar,0,2,0,91,4.91,74.92,125.77,10,5
Railway Station,Shahpura,7,3,0,36,6.92,98.04,118.04,9,10
New Market,Airport,3,4,1,29,8.43,152.16,171.59,8,0
Shahpura,Airport,21,4,1,33,14.75,228.0,262.6,10,0
Habibganj,Railway Station,14,0,1,69,4.71,81.52,132.13,3,9
MP Nagar,Shahpura,20,0,1,26,3.67,108.04,105.95,7,10
MP Nagar,Lalghati,16,3,1,28,7.47,162.64,162.23,7,6
Airport,MP Nagar,0,0,0,91,11.19,221.28,239.45,0,7
BHEL,Shahpura,3,4,1,64,8.38,137.56,196.18,2,10
Ashoka Garden,Railway Station,11,2,0,96,0.98,70.76,72.12,1,9
New Market,Railway Station,9,6,0,24,4.02,112.24,95.44,8,9
Indrapuri,Airport,6,6,1,61,15.69,222.28,318.39,4,0
Airport,Shahpura,18,0,1,63,14.75,253.0,311.0,0,10
Shahpura,MP Nagar,5,6,1,51,3.67,63.04,113.46,10,7
Railway Station,BHEL,13,2,0,41,8.71,134.52,142.52,9,2
MP Nagar,New Market,16,0,1,20,3.82,129.84,114.06,7,8
Indrapuri,BHEL,16,4,0,60,1.57,84.84,74.88,4,2
BHEL,Habibganj,13,3,1,63,8.25,182.0,203.2,2,3
Lalghati,Habibganj,5,6,0,31,8.88,148.56,147.16,6,3
Airport,Indrapuri,18,4,0,33,15.69,244.28,233.08,0,4
Railway Station,BHEL,21,4,1,91,8.71,145.52,231.43,9,2
New Market,Airport,15,4,0,100,8.43,126.16,183.33,8,0
Indrapuri,Shahpura,6,3,1,50,6.89,137.68,150.22,4,10
Kolar,Habibganj,15,2,0,90,5.08,87.96,130.67,5,3
Shahpura,BHEL,1,4,0,42,8.38,181.56,152.86,10,2
Lalghati,Airport,10,4,1,48,4.25,134.0,119.83,6,0
Indrapuri,Lalghati,11,6,1,27,11.44,212.28,219.74,4,6
BHEL,Airport,7,3,1,44,16.74,244.88,289.86,2,0
Ashoka Garden,Lalghati,3,5,0,32,4.78,128.36,106.66,1,6
Railway Station,MP Nagar,20,4,0,36,3.31,75.72,78.92,9,7
New Market,Indrapuri,1,1,0,30,10.37,176.44,168.04,8,4
Airport,Lalghati,7,2,0,96,4.25,88.0,119.52,0,6
New Market,Airport,18,0,1,81,8.43,138.16,225.26,8,0
Airport,Railway Station,18,2,1,26,8.55,119.6,166.52,0,9
Indrapuri,New Market,1,1,0,86,10.37,207.44,225.66,4,8
Habibganj,Railway Station,8,5,0,28,4.71,72.52,91.72,3,9
Lalghati,Ashoka Garden,23,4,1,92,4.78,131.36,162.58,6,1
Shahpura,MP Nagar,16,6,1,58,3.67,93.04,119.46,10,7
Indrapuri,Ashoka Garden,16,2,1,32,6.76,116.12,144.34,4,1
Railway Station,Shahpura,23,2,1,32,6.92,122.04,147.45,9,10
Indrapuri,MP Nagar,7,1,1,99,6.76,149.12,199.39,4,7
Airport,Kolar,18,4,1,95,14.03,253.36,342.38,0,5
MP Nagar,Kolar,23,2,0,31,5.82,150.84,122.14,7,5
Ashoka Garden,Railway Station,2,0,0,24,0.98,101.76,66.76,1,9
New Market,Indrapuri,14,5,0,53,10.37,138.44,185.55,8,4
New Market,Kolar,14,0,0,97,5.79,124.48,147.51,8,5
Shahpura,BHEL,19,2,0,91,8.38,111.56,179.74,10,2
Shahpura,Railway Station,22,5,0,94,6.92,112.04,160.21,10,9
Kolar,Indrapuri,0,5,0,92,11.56,226.72,245.51,5,4
Habibganj,Indrapuri,10,3,1,90,6.68,114.16,191.06,3,4
Railway Station,Airport,7,2,1,79,8.55,132.6,197.64,9,0
BHEL,Ashoka Garden,22,0,0,54,7.96,110.52,152.2,2,1
Habibganj,Shahpura,8,1,0,64,2.26,77.12,79.86,3,10
Indrapuri,Lalghati,20,3,1,29,11.44,202.28,217.74,4,6
New Market,Railway Station,14,1,1,35,4.02,136.24,118.08,8,9
Kolar,Habibganj,18,3,1,37,5.08,72.96,115.55,5,3
Lalghati,MP Nagar,0,2,0,24,7.47,156.64,137.74,6,7
BHEL,Kolar,15,4,1,71,13.11,203.32,277.45,2,5
Lalghati,MP Nagar,9,0,1,61,7.47,99.64,175.5,6,7
New Market,Habibganj,10,2,0,64,4.74,136.88,122.44,8,3
Railway Station,BHEL,18,0,1,47,8.71,176.52,179.82,9,2
New Market,BHEL,15,3,0,25,11.86,175.32,180.92,8,2
Shahpura,Airport,19,3,0,57,14.75,241.0,256.52,10,0
Ashoka Garden,New Market,5,5,1,81,4.99,124.88,164.81,1,8
Ashoka Garden,Kolar,2,6,1,54,9.32,189.84,220.18,1,5
Railway Station,MP Nagar,22,5,1,73,3.31,83.72,112.41,9,7
Ashoka Garden,Shahpura,17,4,1,50,7.18,163.16,159.34,1,10
Airport,New Market,9,6,0,91,8.43,120.16,182.13,0,8
BHEL,Lalghati,19,3,1,47,12.5,166.0,223.2,2,6
Indrapuri,MP Nagar,16,3,0,25,6.76,96.12,116.12,4,7
Lalghati,MP Nagar,14,4,0,74,7.47,174.64,161.29,6,7
BHEL,Ashoka Garden,10,2,1,23,7.96,165.52,168.62,2,1
Railway Station,Kolar,4,2,1,31,8.59,134.08,169.9,9,5
New Market,Indrapuri,20,1,1,44,10.37,141.44,192.73,8,4
New Market,Lalghati,13,3,1,85,5.76,111.12,174.99,8,6
Indrapuri,Shahpura,8,2,1,73,6.89,114.68,170.15,4,10
Ashoka Garden,BHEL,7,2,1,60,7.96,169.52,196.53,1,2
Airport,Kolar,18,2,0,98,14.03,188.36,271.04,0,5
Ashoka Garden,MP Nagar,7,1,1,30,3.76,74.12,99.94,1,7
Habibganj,Indrapuri,7,6,0,96,6.68,169.16,168.5,3,4
New Market,Shahpura,7,4,1,42,6.72,99.64,140.57,8,10
Airport,Kolar,8,2,1,87,14.03,214.36,334.58,0,5
Indrapuri,BHEL,5,4,0,26,1.57,50.84,57.24,4,2
Lalghati,Ashoka Garden,4,3,0,83,4.78,82.36,125.52,6,1
Railway Station,Kolar,15,1,0,27,8.59,183.08,155.08,9,5
Railway Station,Kolar,5,0,0,48,8.59,115.08,137.48,9,5
Shahpura,Kolar,20,2,0,39,4.91,136.92,110.32,10,5
Ashoka Garden,Lalghati,2,1,1,58,4.78,92.36,135.3,1,6
Lalghati,BHEL,5,4,1,77,12.5,218.0,271.6,6,2
MP Nagar,Airport,11,3,1,24,11.19,162.28,206.74,7,0
Airport,Ashoka Garden,11,5,1,58,8.99,158.88,209.23,0,1
Railway Station,MP Nagar,8,0,1,55,3.31,57.72,107.21,9,7
Shahpura,Indrapuri,7,0,0,77,6.89,95.68,136.91,10,4
BHEL,Railway Station,0,2,1,79,8.71,152.52,203.93,2,9
Indrapuri,Lalghati,13,5,0,31,11.44,184.28,179.38,4,6
Shahpura,Kolar,18,6,1,59,4.91,80.92,134.89,10,5
Habibganj,Airport,22,6,1,76,12.53,214.36,271.3,3,0
New Market,Airport,21,4,0,82,8.43,115.16,181.13,8,0
Railway Station,BHEL,1,2,0,62,8.71,153.52,169.44,9,2
Kolar,BHEL,6,6,1,100,13.11,224.32,321.11,5,2
BHEL,MP Nagar,21,0,1,97,8.3,174.6,230.36,2,7
MP Nagar,New Market,17,3,1,41,3.82,122.84,111.96,7,8
Airport,Kolar,3,6,0,84,14.03,227.36,278.84,0,5
Shahpura,BHEL,1,2,1,86,8.38,119.56,220.7,10,2
Ashoka Garden,Kolar,2,3,0,27,9.32,186.84,162.34,1,5
MP Nagar,Railway Station,1,1,0,39,3.31,106.72,87.82,7,9
Shahpura,MP Nagar,23,4,0,72,3.67,116.04,105.41,10,7
Railway Station,Indrapuri,22,6,1,67,7.42,147.04,184.26,9,4
Ashoka Garden,Indrapuri,20,0,1,40,6.76,121.12,145.34,1,4
Railway Station,BHEL,9,3,1,78,8.71,131.52,199.73,9,2
Railway Station,MP Nagar,19,6,1,23,3.31,85.72,96.86,9,7
Ashoka Garden,Shahpura,1,4,0,79,7.18,113.16,143.75,1,10
Habibganj,BHEL,9,5,1,76,8.25,163.0,199.4,3,2
Airport,Habibganj,1,6,1,70,12.53,208.36,270.1,0,3
Lalghati,New Market,16,5,1,32,5.76,140.12,137.52,6,8
Railway Station,BHEL,23,3,1,37,8.71,191.52,183.91,9,2
Habibganj,Indrapuri,20,3,1,74,6.68,111.16,166.42,3,4
Habibganj,New Market,23,4,1,39,4.74,117.88,120.46,3,8
Airport,Lalghati,3,4,0,27,4.25,133.0,103.6,0,6
New Market,Habibganj,0,5,0,33,4.74,92.88,96.08,8,3
Shahpura,Indrapuri,19,3,1,75,6.89,152.68,177.75,10,4
BHEL,New Market,7,3,0,44,11.86,198.32,187.12,2,8
Habibganj,BHEL,11,5,1,62,8.25,111.0,189.0,3,2
Kolar,Lalghati,2,2,1,28,11.53,166.36,211.63,5,6
Habibganj,BHEL,14,5,1,83,8.25,144.0,223.4,3,2
Airport,Indrapuri,0,0,0,97,15.69,222.28,300.13,0,4
New Market,Habibganj,14,1,0,69,4.74,114.88,115.98,8,3
Habibganj,BHEL,7,2,1,38,8.25,124.0,163.8,3,2
MP Nagar,Shahpura,3,0,1,62,3.67,127.04,126.35,7,10
Lalghati,BHEL,9,6,1,84,12.5,216.0,309.2,6,2
BHEL,Ashoka Garden,6,4,0,69,7.96,151.52,160.4,2,1
BHEL,New Market,15,2,1,21,11.86,231.32,228.93,2,8
Indrapuri,Ashoka Garden,1,6,1,63,6.76,147.12,174.77,4,1
BHEL,Airport,19,0,0,69,16.74,241.88,279.62,2,0
BHEL,Ashoka Garden,2,4,0,93,7.96,116.52,175.09,2,1
Habibganj,Railway Station,23,6,1,60,4.71,117.52,139.33,3,9
BHEL,Indrapuri,13,5,0,61,1.57,71.84,70.98,2,4
Habibganj,Railway Station,19,3,0,78,4.71,97.52,112.16,3,9
BHEL,Ashoka Garden,18,5,0,73,7.96,173.52,165.89,2,1
Ashoka Garden,Lalghati,14,4,1,61,4.78,128.36,142.5,1,6
Indrapuri,Kolar,13,1,1,20,11.56,182.72,215.26,4,5
Habibganj,Ashoka Garden,2,6,1,52,5.07,128.84,146.78,3,1
Ashoka Garden,MP Nagar,9,3,1,35,3.76,110.12,107.52,1,7
BHEL,Ashoka Garden,12,2,1,80,7.96,146.52,191.93,2,1
BHEL,Kolar,14,4,0,42,13.11,241.32,210.52,2,5
MP Nagar,New Market,2,6,1,33,3.82,127.84,113.46,7,8
Habibganj,Kolar,6,4,1,95,5.08,131.96,167.74,3,5
Kolar,Indrapuri,5,3,0,67,11.56,224.72,217.54,5,4
Ashoka Garden,New Market,13,6,1,64,4.99,117.88,143.43,1,8
New Market,BHEL,5,2,0,99,11.86,186.32,241.46,8,2
BHEL,MP Nagar,10,3,1,61,8.3,180.6,203.64,2,7
Railway Station,Habibganj,21,2,1,82,4.71,129.52,161.03,9,3
Kolar,Lalghati,17,0,1,79,11.53,170.36,248.1,5,6
Indrapuri,Kolar,16,0,1,98,11.56,200.72,290.35,4,5
Shahpura,Airport,19,3,0,67,14.75,235.0,255.32,10,0
Kolar,New Market,16,6,1,50,5.79,110.48,131.58,5,8
Kolar,Ashoka Garden,20,3,0,60,9.32,139.84,173.73,5,1
Airport,Railway Station,21,2,1,52,8.55,155.6,202.24,0,9
Kolar,BHEL,16,0,1,22,13.11,210.32,239.38,5,2
New Market,Lalghati,4,2,1,42,5.76,117.12,132.54,8,6
MP Nagar,Ashoka Garden,9,0,0,45,3.76,128.12,98.02,7,1
Shahpura,Habibganj,6,0,1,82,2.26,86.12,111.19,10,3
Shahpura,Railway Station,11,0,0,54,6.92,163.04,152.27,10,9
Ashoka Garden,Lalghati,3,3,0,35,4.78,104.36,99.46,1,6
MP Nagar,BHEL,15,5,0,22,8.3,154.6,144.1,7,2
Indrapuri,Lalghati,17,1,1,96,11.44,169.28,282.05,4,6
BHEL,Lalghati,5,2,0,74,12.5,193.0,221.0,2,6
Airport,Shahpura,4,5,1,77,14.75,241.0,308.6,0,10
Kolar,New Market,13,0,1,37,5.79,150.48,140.94,5,8
Lalghati,Indrapuri,0,3,0,54,11.44,157.28,201.64,6,4
Habibganj,MP Nagar,2,2,0,26,1.42,48.04,55.24,3,7
BHEL,New Market,8,3,1,21,11.86,152.32,212.78,2,8
BHEL,Indrapuri,15,1,1,70,1.57,69.84,84.58,2,4
Ashoka Garden,Railway Station,15,1,1,34,0.98,44.76,60.71,1,9
Kolar,Railway Station,1,4,1,64,8.59,154.08,202.51,5,9
Kolar,MP Nagar,2,4,0,55,5.82,84.84,122.41,5,7
BHEL,Airport,10,3,1,98,16.74,259.88,389.21,2,0
BHEL,Lalghati,22,4,1,77,12.5,186.0,265.2,2,6
Habibganj,Indrapuri,19,6,0,88,6.68,152.16,165.01,3,4
New Market,Habibganj,8,3,0,49,4.74,96.88,96.88,8,3
Ashoka Garden,BHEL,23,1,1,38,7.96,181.52,173.04,1,2
Lalghati,New Market,2,4,1,57,5.76,134.12,157.77,6,8
MP Nagar,Airport,21,4,0,67,11.19,205.28,208.36,7,0
MP Nagar,Shahpura,11,6,0,25,3.67,95.04,87.34,7,10
New Market,Ashoka Garden,17,6,1,42,4.99,93.88,118.66,8,1
MP Nagar,BHEL,2,6,1,77,8.3,188.6,205.24,7,2
